House_ID,Date_Sold,City,Area_sqft,Bedrooms,Bathrooms,Garage,Year_Built,Price,Owner_Name,Contact,Email,Property_Type,Furnished,Floor_No,Total_Floors,Latitude,Longitude,Loan_Status,Registration_Price,Notes
H5239,2020/02/21,Bhubaneshwar,1503,1,4,Yes,1981,5.7M,Pooja,98765abcde,pooja#gmail.com,Flat,N,Ground,5,20.3094,85.5065,Approved,13712835,Suspicious price
H2788,2020-11-14,Bhubaneshwar,918,3,1,No,2014,8350753,Rakesh,9479708607,rakesh@outlook.com,Apartment,No,2,2,20.3553,86.3665,Pending,6663623,Suspicious price
H5208,29/11/20,Bhubaneshwar,1358,Two,2,N,1995,9.8M,Meena,0000000000,meena@gmail.com,Apartment,Y,3,5,19.5662,86.4131,Rejected,14044602,Old house
H1742,2022/03/21,Cuttack,1085,Three,4,N,2028,5679591,Arun,7390452952,arun@gmail.com,Flat,N,Ground,2,19.8848,86.0959,Pending,10877065,Old house
H4533,2023/10/25,Bhubaneswar,3292,1,3,No,2028,2054447,Rajesh,9150000991,rajesh@outlook.com,APT,No,1,6,20.2625,86.0394,Rejected,2009594,
H2656,2020-02-09,Bhubaneshwar,3906,1,1,No,1984,4.2M,Arun,98765abcde,arun#gmail.com,Flat,No,G,5,19.899,86.1717,Pending,9350099,
H3699,2021-05-22,Bhubaneswar,1884,1,1,YES,1984,7543670,Pooja,98765abcde,pooja@gmail,House,N,1,13,19.973,85.9071,Approved,3626229,Suspicious price
H2903,21/04/22,Puri,721,Three,3,Yes,1995,5.2M,Vikas,0000000000,vikas@gmail.com,Villa,Yes,0,11,20.4993,86.336,Approved,14642731,
H1363,21/09/22,BBSR,2142,3,4,Y,2028,4597059,Vikas,98765abcde,vikas@outlook.com,APT,Yes,0,10,19.9768,86.4194,Rejected,4641282,Good property
H4161,2024-10-09,Bhubaneswar,2937,2,1,N,2028,13028891,Pooja,98765abcde,pooja#gmail.com,Flat,Y,3,3,20.1717,85.8,Pending,14614192,Good property
H0077,2023/06/26,Bhubaneswar,800,1,2,Y,1998,9351517,Arun,98765abcde,arun@gmail,Apartment,No,2,2,20.3897,86.2424,Approved,6569244,Old house
